id,match,date,team_a,team_b,shooting_team,half,minute,score_shoot_goals,score_shoot_points,score_opp_goals,score_opp_points,score_diff,set_piece_type,shooter,position_zone,attempt_type,striking_side,under_pressure,outcome,notes
"1","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Cork","1","3","0","1","0","1","0","free","Horgan 13","F3CL","direct","dominant","none","point",""
"2","2025_AIF_COR_TIP","2025-07-20","Cork","Tipperary","Tipperary","1","11","0","2","0","4","-2","free","McCarthy 13","F3CL","direct","dominant","none","point",""
