id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,notes,retained_bool,match_label,opposition,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome
36,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,30,0,11,0,15,-4,long,C,AL,yes,pass,,True,2025_AIF,Cork,,,,,,,
37,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,30,0,15,0,11,4,short,C,DL,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
38,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,31,0,11,0,16,-5,short,C,DL,yes,pass,,True,2025_AIF,Cork,,,,,,,
39,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,33,0,16,0,12,4,long,T,AL,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
40,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,35,0,12,0,16,-4,short,C,DC,yes,pass,,True,2025_AIF,Cork,,,,,,,
41,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,36,0,16,0,12,4,medium,C,MC,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
42,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,1,37,0,16,0,13,3,short,C,DC,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
43,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,1,37,0,13,0,16,-3,short,C,DC,yes,pass,,True,2025_AIF,Cork,,,,,,,
44,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,37,0,13,1,16,-6,long,P,AL,yes,carry,,True,2025_AIF,Cork,,,,,,,
45,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,37,1,16,0,14,5,long,T,AR,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
46,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,38,1,16,0,15,4,short,C,DL,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
47,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,40,1,16,0,16,3,short,C,DR,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
48,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,41,1,16,0,16,3,short,C,DL,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
49,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,42,1,16,0,17,2,long,T,AC,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
50,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,43,1,16,0,17,2,medium,T,MC,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
51,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,44,1,16,0,18,1,long,B,AL,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
52,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,45,1,16,0,18,1,short,C,DL,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
53,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,46,1,16,1,18,-2,long,B,AC,yes,shot,,True,2025_AIF,Tipperary,,,,,,,
54,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,48,1,18,1,17,1,long,P,AL,yes,carry,,True,2025_AIF,Cork,,,,,,,
55,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,49,1,17,1,18,-1,short,C,DC,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
56,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,49,1,18,1,17,1,long,T,AC,no,turnover,,False,2025_AIF,Cork,,,,,,,
57,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,50,1,17,1,19,-2,short,C,DL,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
58,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,50,1,19,1,17,2,long,B,AR,no,turnover,,False,2025_AIF,Cork,,,,,,,
59,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,53,1,17,1,20,-3,long,P,AC,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
60,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,55,1,17,2,20,-6,long,T,AC,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
61,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,56,1,17,2,21,-7,long,P,AL,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
62,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,58,2,21,1,17,7,short,C,DC,yes,pass,,True,2025_AIF,Cork,,,,,,,
63,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,60,1,17,2,22,-8,long,B,AL,yes,turnover,,True,2025_AIF,Tipperary,,,,,,,
64,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,61,1,17,3,22,-11,long,B,AC,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
65,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,61,1,17,3,23,-12,long,P,AL,yes,carry,,True,2025_AIF,Tipperary,,,,,,,
66,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,62,3,23,1,17,12,short,C,DC,yes,pass,,True,2025_AIF,Cork,,,,,,,
67,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,65,1,17,3,23,-12,short,C,DL,yes,pass,,True,2025_AIF,Tipperary,,,,,,,
68,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Tipperary,2,66,3,23,1,18,11,medium,X,ML,no,turnover,,False,2025_AIF,Cork,,,,,,,
69,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,68,1,18,3,24,-12,long,T,AL,no,foul-won,,False,2025_AIF,Tipperary,,,,,,,
70,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,69,1,18,3,25,-13,long,B,AL,no,foul-won,,False,2025_AIF,Tipperary,,,,,,,
71,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,73,1,18,3,25,-13,long,T,AL,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
72,2025_AIF_COR_TIP,2025-07-20,Cork,Tipperary,Cork,2,74,1,18,3,26,-14,long,B,AL,no,turnover,,False,2025_AIF,Tipperary,,,,,,,
73,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,1,0,0,0,0,0,long,B,AL,yes,carry,,True,2025_AISF,Tipperary,A,pass,A,carry,A,shot,point
74,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,2,0,0,0,1,-1,long,C,AL,yes,carry,,True,2025_AISF,Kilkenny,B,carry,B,pass,B,carry,
75,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,3,0,1,0,0,1,long,B,AC,yes,carry,,True,2025_AISF,Tipperary,A,carry,A,shot,A,,
76,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,3,0,0,0,1,-1,long,X,AR,no,turnover,,False,2025_AISF,Kilkenny,,,,,,,
77,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,5,0,0,0,1,-1,long,B,AL,yes,carry,,True,2025_AISF,Kilkenny,B,pass,A,pass,A,carry,
78,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,6,0,0,0,1,-1,short,C,DL,yes,pass,,True,2025_AISF,Kilkenny,B,turnover,A,turnover,B,,
79,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,7,0,0,0,2,-2,short,C,DC,yes,pass,,True,2025_AISF,Kilkenny,A,carry,A,pass,A,pass,
80,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,8,0,0,0,3,-3,short,C,DL,yes,pass,,True,2025_AISF,Kilkenny,B,launch,B,carry,B,shot,goal
81,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,9,0,3,1,0,0,long,P,AL,yes,carry,,True,2025_AISF,Tipperary,A,carry,A,pass,A,shot,point
82,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,9,1,0,0,4,-1,short,C,DR,yes,pass,,True,2025_AISF,Kilkenny,B,carry,B,shot,B,,wide
83,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,10,0,4,1,0,1,long,X,AL,no,turnover,,False,2025_AISF,Tipperary,,,,,,,
84,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,11,1,0,0,4,-1,long,B,AL,no,turnover,,False,2025_AISF,Kilkenny,A,carry,A,pass,A,pass,
85,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,12,1,0,0,5,-2,long,T,AR,no,pass,,False,2025_AISF,Kilkenny,A,launch,A,pass,A,shot,point
86,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,12,1,0,0,6,-3,short,C,DC,yes,pass,,True,2025_AISF,Kilkenny,B,pass,B,shot,B,,wide
87,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,13,0,6,1,0,3,long,B,AL,yes,pass,,True,2025_AISF,Tipperary,A,pass,A,carry,A,shot,point
88,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,13,1,0,0,7,-4,medium,C,MR,yes,pass,,True,2025_AISF,Kilkenny,B,turnover,A,pass,A,pass,
89,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,14,1,0,0,8,-5,short,C,DL,yes,pass,,True,2025_AISF,Kilkenny,B,shot,B,,B,,point
90,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,14,0,8,1,1,4,long,P,AR,yes,carry,,True,2025_AISF,Tipperary,A,shot,A,,A,,point
91,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,15,1,1,0,9,-5,short,C,DL,yes,carry,,True,2025_AISF,Kilkenny,B,pass,B,pass,B,turnover,
92,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,16,0,9,1,2,4,medium,C,MR,yes,pass,,True,2025_AISF,Tipperary,A,turnover,B,launch,B,turnover,
93,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,17,1,2,0,10,-5,long,B,AC,no,turnover,,False,2025_AISF,Kilkenny,A,launch,A,turnover,B,carry,
94,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,18,0,10,1,2,5,long,B,AC,no,turnover,,False,2025_AISF,Tipperary,B,pass,B,shot,B,,point
95,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,19,0,11,1,3,5,long,C,AR,yes,carry,,True,2025_AISF,Tipperary,A,pass,A,pass,A,turnover,
96,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,20,0,11,1,4,4,medium,B,MR,yes,pass,,True,2025_AISF,Tipperary,A,turnover,B,pass,B,launch,
97,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,21,1,4,0,11,-4,medium,C,MC,yes,pass,,True,2025_AISF,Kilkenny,B,carry,B,shot,A,,
98,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,22,0,11,2,4,1,long,T,AL,no,pass,,False,2025_AISF,Tipperary,B,pass,B,launch,B,turnover,
99,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,23,0,11,2,5,0,medium,B,MC,no,pass,,False,2025_AISF,Tipperary,B,shot,B,,B,,point
100,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,24,0,11,2,6,-1,long,B,AR,no,carry,,False,2025_AISF,Tipperary,B,pass,B,pass,B,shot,wide
101,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,25,0,11,2,6,-1,long,B,AC,no,carry,,False,2025_AISF,Tipperary,B,launch,B,pass,B,shot,goal
102,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,26,0,11,3,6,-4,long,P,AL,yes,carry,,True,2025_AISF,Tipperary,A,foul-won,A,,A,,
103,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,27,3,6,0,12,3,short,C,DC,yes,pass,,True,2025_AISF,Kilkenny,B,launch,B,turnover,A,pass,
104,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Kilkenny,1,27,0,12,3,7,-4,short,C,DR,yes,pass,,True,2025_AISF,Tipperary,A,launch,A,turnover,B,carry,
105,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,30,3,7,0,13,3,long,T,AL,no,pass,,False,2025_AISF,Kilkenny,A,pass,A,pass,A,turnover,
106,2025_AISF_KIK_TIP,2025-07-06,Kilkenny,Tipperary,Tipperary,1,32,3,7,0,14,2,short,B,DC,yes,pass,,True,2025_AISF,Kilkenny,B,pass,B,pass,B,pass,
