id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,notes
"47","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","TIPPERARY","2","58","2","21","1","17","7","short","C","DC","yes","pass",""
"48","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","60","1","17","2","22","-8","long","B","AL","yes","turnover",""
"49","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","61","1","17","3","22","-11","long","B","AC","no","turnover",""
"50","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","61","1","17","3","23","-12","long","P","AL","yes","carry",""
"51","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","TIPPERARY","2","6263","3","23","1","17","12","short","C","DC","yes","pass",""
"52","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","65","1","17","3","23","-12","short","C","DL","yes","pass",""
"53","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","TIPPERARY","2","66","3","23","1","18","11","medium","X","ML","no","turnover",""
"54","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","68","1","18","3","24","-12","long","T","AL","no","foul-won",""
"55","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","69","1","18","3","25","-13","long","B","AL","no","foul-won",""
"56","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","73","1","18","3","25","-13","long","T","AL","no","turnover",""
"57","2025_AIF_COR_TIP","2025-07-20","CORK","TIPPERARY","CORK","2","74","1","18","3","26","-14","long","B","AL","no","turnover",""
